ID,region_parent,region_child,NX,NY,
1,강원특별자치도,강릉시,93 ,132 ,
2,강원특별자치도,고성군,85 ,145 ,
3,강원특별자치도,동해시,97 ,127 ,
4,강원특별자치도,삼척시,98 ,123 ,
5,강원특별자치도,속초시,87 ,141 ,
6,강원특별자치도,양구군,78 ,140 ,
7,강원특별자치도,양양군,88 ,138 ,
8,강원특별자치도,영월군,86 ,119 ,
9,강원특별자치도,원주시,77 ,122 ,
10,강원특별자치도,인제군,81 ,137 ,
11,강원특별자치도,정선군,90 ,123 ,
12,강원특별자치도,철원군,68 ,142 ,
13,강원특별자치도,춘천시,73 ,134 ,
14,강원특별자치도,태백시,95 ,118 ,
15,강원특별자치도,평창군,85 ,126 ,
16,강원특별자치도,홍천군,77 ,130 ,
17,강원특별자치도,화천군,72 ,139 ,
18,강원특별자치도,횡성군,79 ,125 ,
19,경기도,가평군,68 ,132 ,
20,경기도,고양시덕양구,58 ,128 ,
21,경기도,고양시일산동구,56 ,129 ,
22,경기도,고양시일산서구,56 ,129 ,
23,경기도,과천시,60 ,124 ,
24,경기도,광명시,58 ,125 ,
25,경기도,광주시,65 ,123 ,
26,경기도,구리시,63 ,127 ,
27,경기도,군포시,59 ,122 ,
28,경기도,김포시,54 ,128 ,
29,경기도,남양주시,64 ,128 ,
30,경기도,동두천시,61 ,134 ,
31,경기도,부천시소사구,57 ,125 ,
32,경기도,부천시오정구,57 ,126 ,
33,경기도,부천시원미구,56 ,125 ,
34,경기도,성남시분당구,62 ,123 ,
35,경기도,성남시수정구,63 ,124 ,
36,경기도,성남시중원구,63 ,124 ,
37,경기도,수원시권선구,60 ,120 ,
38,경기도,수원시영통구,61 ,120 ,
39,경기도,수원시장안구,60 ,121 ,
40,경기도,수원시팔달구,61 ,120 ,
41,경기도,시흥시,57 ,123 ,
42,경기도,안산시단원구,57 ,122 ,
43,경기도,안산시상록구,58 ,121 ,
44,경기도,안성시,65 ,115 ,
45,경기도,안양시동안구,60 ,123 ,
46,경기도,안양시만안구,59 ,123 ,
47,경기도,양주시,61 ,132 ,
48,경기도,양평군,69 ,125 ,
49,경기도,여주시,71 ,121 ,
50,경기도,연천군,60 ,138 ,
51,경기도,오산시,61 ,118 ,
52,경기도,용인시기흥구,62 ,120 ,
53,경기도,용인시수지구,62 ,121 ,
54,경기도,용인시처인구,64 ,119 ,
55,경기도,의왕시,60 ,122 ,
56,경기도,의정부시,61 ,130 ,
57,경기도,이천시,68 ,120 ,
58,경기도,파주시,56 ,131 ,
59,경기도,평택시,61 ,115 ,
60,경기도,포천시,64 ,135 ,
61,경기도,하남시,64 ,126 ,
62,경기도,화성시,60 ,119 ,
63,경상남도,거제시,90 ,69 ,
64,경상남도,거창군,77 ,87 ,
65,경상남도,고성군,84 ,72 ,
66,경상남도,김해시,94 ,77 ,
67,경상남도,남해군,78 ,67 ,
68,경상남도,밀양시,92 ,82 ,
69,경상남도,사천시,80 ,71 ,
70,경상남도,산청군,77 ,80 ,
71,경상남도,양산시,98 ,80 ,
72,경상남도,의령군,83 ,80 ,
73,경상남도,진주시,81 ,75 ,
74,경상남도,창녕군,87 ,82 ,
75,경상남도,창원시마산합포구,89 ,75 ,
76,경상남도,창원시마산회원구,89 ,77 ,
77,경상남도,창원시성산구,91 ,76 ,
78,경상남도,창원시의창구,90 ,78 ,
79,경상남도,창원시진해구,91 ,75 ,
80,경상남도,통영시,86 ,68 ,
81,경상남도,하동군,75 ,73 ,
82,경상남도,함안군,86 ,78 ,
83,경상남도,함양군,74 ,83 ,
84,경상남도,합천군,81 ,84 ,
85,경상북도,경산시,92 ,90 ,
86,경상북도,경주시,100 ,90 ,
87,경상북도,고령군,84 ,87 ,
88,경상북도,구미시,85 ,96 ,
89,경상북도,김천시,80 ,95 ,
90,경상북도,문경시,81 ,107 ,
91,경상북도,봉화군,93 ,113 ,
92,경상북도,상주시,80 ,102 ,
93,경상북도,성주군,83 ,91 ,
94,경상북도,안동시,91 ,106 ,
95,경상북도,영덕군,102 ,104 ,
96,경상북도,영양군,97 ,108 ,
97,경상북도,영주시,89 ,111 ,
98,경상북도,영천시,95 ,93 ,
99,경상북도,예천군,85 ,107 ,
100,경상북도,울릉군,130 ,127 ,
101,경상북도,울진군,102 ,113 ,
102,경상북도,의성군,88 ,101 ,
103,경상북도,청도군,92 ,86 ,
104,경상북도,청송군,96 ,102 ,
105,경상북도,칠곡군,86 ,93 ,
106,경상북도,포항시남구,103 ,94 ,
107,경상북도,포항시북구,101 ,96 ,
108,광주광역시,광산구,57 ,75 ,
109,광주광역시,남구,59 ,74 ,
110,광주광역시,동구,60 ,74 ,
111,광주광역시,북구,59 ,75 ,
112,광주광역시,서구,59 ,74 ,
113,대구광역시,군위군,89 ,97 ,
114,대구광역시,남구,89 ,90 ,
115,대구광역시,달서구,88 ,90 ,
116,대구광역시,달성군,87 ,88 ,
117,대구광역시,동구,90 ,91 ,
118,대구광역시,북구,89 ,91 ,
119,대구광역시,서구,88 ,91 ,
120,대구광역시,수성구,90 ,90 ,
121,대구광역시,중구,89 ,90 ,
122,대전광역시,대덕구,68 ,101 ,
123,대전광역시,동구,68 ,100 ,
124,대전광역시,서구,67 ,100 ,
125,대전광역시,유성구,67 ,101 ,
126,대전광역시,중구,68 ,100 ,
127,부산광역시,강서구,95 ,75 ,
128,부산광역시,금정구,98 ,77 ,
129,부산광역시,기장군,100 ,78 ,
130,부산광역시,남구,98 ,75 ,
131,부산광역시,동구,97 ,75 ,
132,부산광역시,동래구,98 ,76 ,
133,부산광역시,부산진구,97 ,75 ,
134,부산광역시,북구,97 ,76 ,
135,부산광역시,사상구,96 ,75 ,
136,부산광역시,사하구,96 ,74 ,
137,부산광역시,서구,97 ,74 ,
138,부산광역시,수영구,99 ,75 ,
139,부산광역시,연제구,98 ,76 ,
140,부산광역시,영도구,98 ,74 ,
141,부산광역시,중구,97 ,74 ,
142,부산광역시,해운대구,99 ,76 ,
143,서울특별시,강남구,61 ,125 ,
144,서울특별시,강동구,63 ,126 ,
145,서울특별시,강북구,61 ,128 ,
146,서울특별시,강서구,58 ,126 ,
147,서울특별시,관악구,59 ,125 ,
148,서울특별시,광진구,62 ,126 ,
149,서울특별시,구로구,58 ,125 ,
150,서울특별시,금천구,59 ,124 ,
151,서울특별시,노원구,61 ,129 ,
152,서울특별시,도봉구,61 ,129 ,
153,서울특별시,동대문구,61 ,127 ,
154,서울특별시,동작구,59 ,125 ,
155,서울특별시,마포구,59 ,126 ,
156,서울특별시,서대문구,59 ,127 ,
157,서울특별시,서초구,60 ,125 ,
158,서울특별시,성동구,61 ,126 ,
159,서울특별시,성북구,61 ,127 ,
160,서울특별시,송파구,62 ,125 ,
161,서울특별시,양천구,58 ,126 ,
162,서울특별시,영등포구,59 ,125 ,
163,서울특별시,용산구,60 ,126 ,
164,서울특별시,은평구,59 ,127 ,
165,서울특별시,종로구,60 ,127 ,
166,서울특별시,중구,60 ,127 ,
167,서울특별시,중랑구,62 ,127 ,
168,세종특별자치시,세종특별자치시,65 ,104 ,
169,울산광역시,남구,102 ,84 ,
170,울산광역시,동구,104 ,83 ,
171,울산광역시,북구,103 ,85 ,
172,울산광역시,울주군,100 ,83 ,
173,울산광역시,중구,102 ,84 ,
174,인천광역시,강화군,50 ,130 ,
175,인천광역시,계양구,56 ,126 ,
176,인천광역시,남동구,55 ,124 ,
177,인천광역시,동구,54 ,125 ,
178,인천광역시,미추홀구,55 ,124 ,
179,인천광역시,부평구,55 ,125 ,
180,인천광역시,서구,55 ,126 ,
181,인천광역시,연수구,55 ,123 ,
182,인천광역시,옹진군,41 ,126 ,
183,인천광역시,중구,53 ,125 ,
184,전라남도,강진군,57 ,62 ,
185,전라남도,고흥군,66 ,62 ,
186,전라남도,곡성군,65 ,76 ,
187,전라남도,광양시,73 ,71 ,
188,전라남도,구례군,70 ,76 ,
189,전라남도,나주시,56 ,71 ,
